"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Choosing Name (Z to A) reverses the alphabetical order.","1496","productsCanBeSortedByNameDescending","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","productsCanBeSortedByNameDescending"
"The end-to-end happy path: sign in, add two products, check out, confirm.","741","customerCanCompleteAnOrder","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","customerCanCompleteAnOrder"
"The catalogue shows the full set of six products, each with a price.","1460","allProductsAreListed","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","allProductsAreListed"
"Removing the last line leaves an empty cart and no badge at all.","801","emptyingTheCartRemovesTheBadge","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","emptyingTheCartRemovesTheBadge"
"Cancelling the summary returns to the catalogue with the cart intact.","658","cancellingTheSummaryReturnsToTheCatalogue","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","cancellingTheSummaryReturnsToTheCatalogue"
"The error banner can be dismissed with its close button.","741","errorBannerCanBeDismissed","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","errorBannerCanBeDismissed"
"Any product added from the listing appears in the cart with quantity one.","1422","addedProductAppearsInTheCart","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","addedProductAppearsInTheCart"
"A query parameter filters the collection and every row matches the filter.","2843","commentsCanBeFilteredByPost","SauceDemo API","2026-09-25","passed","2026-09-25","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","commentsCanBeFilteredByPost"
"Every invalid combination is refused with a message that explains why.","983","invalidCredentialsAreRejected","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"Every invalid combination is refused with a message that explains why.","487","invalidCredentialsAreRejected","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
