"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","SauceDemo storefront","0","Authentication","1","0","Protected pages require a session","0"
"0","SauceDemo storefront","0","Checkout","3","0","Incomplete details are rejected","0"
"0","API","0","JSONPlaceholder REST endpoints","1","0","Filtering a collection","0"
"0","SauceDemo storefront","0","Shopping cart","5","0","Products reach the cart","0"
"0","SauceDemo storefront","0","Authentication","7","0","Bad credentials are rejected","0"
"0","SauceDemo storefront","0","Shopping cart","2","0","Products can be taken out of the cart","0"
"0","SauceDemo storefront","0","Checkout","2","0","A customer can place an order","0"
"0","SauceDemo storefront","0","Product catalogue","4","0","Products can be sorted","0"
"0","SauceDemo storefront","0","Checkout","2","0","Checkout can be abandoned","0"
"0","SauceDemo storefront","0","Checkout","2","0","The order summary is accurate","0"
"0","API","0","JSONPlaceholder REST endpoints","1","0","Error handling","0"
"0","API","0","JSONPlaceholder REST endpoints","1","0","Performance budget","0"
"0","API","0","JSONPlaceholder REST endpoints","1","0","Reading a resource","0"
"0","SauceDemo storefront","0","Product catalogue","1","0","A product can be removed from the listing","0"
"0","SauceDemo storefront","0","Product catalogue","1","0","A product can be added from the listing","0"
"0","SauceDemo storefront","0","Product catalogue","1","0","All products are listed","0"
"0","API","0","JSONPlaceholder REST endpoints","2","0","Reading a collection","0"
"0","API","0","JSONPlaceholder REST endpoints","1","0","Creating a resource","0"
"0","SauceDemo storefront","0","Authentication","1","0","A locked account cannot sign in","0"
"0","SauceDemo storefront","0","Authentication","1","0","A valid user can sign in","0"
"0","SauceDemo storefront","0","Shopping cart","2","0","The cart survives navigation","0"
"0","SauceDemo storefront","0","Product catalogue","1","0","A product can be added from its own page","0"
"0","SauceDemo storefront","0","Authentication","1","0","A signed-in user can sign out","0"
"0","SauceDemo storefront","0","Product catalogue","1","0","A product has its own page","0"
